name,longitude,latitude,location,profile_image_url,created_at,text,quoted_followers_count,quoted_retweet_count
Daniel Padilla,-102.552784,23.634501,Mexico,http://pbs.twimg.com/profile_images/950532371668856832/i1gOrFxj_normal.jpg,19-03-2019 14:02,Ay q padre,3002216,65
Fördeflüsterer,10.1227651,54.3232927,"Kiel, Germany",http://pbs.twimg.com/profile_images/201926020/ff-fuer-twitter_normal.jpg,19-03-2019 14:02,Tolle Verwandlung vom ehemaligen Schuhgeschäft über schmuddelige Leerstand-Fassade bis zu künstlerischen Installationen. Ab morgen in der Holstenstraße 76 neben @Starbucks #zwischennutzung @stadt_kiel https://t.co/Gu7nfUARiF https://t.co/VLgI2iLm2k,NA,NA
Kelsey&EdenPk Police,0.070062,51.3679705,"Bromley, London",http://pbs.twimg.com/profile_images/1065977140036935682/TWCbwsMM_normal.jpg,19-03-2019 14:02,Kelsey and Eden Park officers will be in Starbucks High Street Beckenham for the next hour if you need to speak to us.,NA,NA
Workhuman,-71.0587436,42.3528926,"Boston, MA; Dublin, Ireland",http://pbs.twimg.com/profile_images/1016663435063496705/NsdwL4dq_normal.jpg,19-03-2019 14:02,"Today's #WorkHuman schedule:

1. Gender and Pay Panel
2. Studio Session with @PorathC
3. Studio Session with @pkfletcher 

Say hello, bring me a Starbucks with my name misspelled on the cup, get a hug!",NA,NA
-,-84.3896015,33.7791502,NCR | BGC,http://pbs.twimg.com/profile_images/1099163300481224704/faqOLhH-_normal.jpg,19-03-2019 14:02,Tara. Let's!,7224,0
mariah <f0><U+009F><U+008C><U+009E>,-82.556984,28.980159,florida/maine,http://pbs.twimg.com/profile_images/1106383955949957120/6w14IG9C_normal.jpg,19-03-2019 14:03,I love how our Starbucks is only busy when I take a 15 and everyone in front of me orders like ten things that’s are super complicated,NA,NA
Collin,-118.2548493,34.0483215,NewYork LosAngeles,http://pbs.twimg.com/profile_images/429025372647092224/-sL6jAwa_normal.jpeg,19-03-2019 14:03,@thistallawkgirl Starbucks hasn’t started selling coffee enema’s yet,NA,NA
jne .,101.975766,4.210484,Malaysia,http://pbs.twimg.com/profile_images/943150235508862977/w6hcoGBA_normal.jpg,19-03-2019 14:03,"If you don't know what to order at Starbucks/Coffee Bean, follow these tips according to how you like your coffee <U+2615><U+FE0F> 

Like foam - Cappuccino 
Hate foam - Flat white
Not so bitter - Latte
Strong - Americano
Neslo - Mocha
Sweet - Caramel frap
Sweet + bitter - Caramel macchiato https://t.co/97iqXXkeGk",NA,NA
Loredana Emmerson,-2.7044052,53.7632254,Lancashire,http://pbs.twimg.com/profile_images/978340636284936192/z8zlsIeV_normal.jpg,19-03-2019 14:03,ICYMI: @Starbucks explores how it can use private groups and accounts on social media to better engage with consumers: https://t.co/9c91ueVQqB <U+2615><U+FE0F> https://t.co/XS4COjizsp,NA,NA
h0tm3ss<f0><U+009F><U+0096><U+00A4>,-99.9018131,31.9685988,"Texas, USA",http://pbs.twimg.com/profile_images/1100856013136130048/97geIJyL_normal.jpg,19-03-2019 14:03,Got myself a pink drink from @Starbucks <f0><U+009F><U+0098><U+008B>,NA,NA
US Rep Mike Conaway (R-Midland) VoteBot,-99.9018131,31.9685988,"Texas, USA",http://pbs.twimg.com/profile_images/1090343359623815168/OWP8Mau6_normal.jpg,19-03-2019 14:03,"On 2019-02-16, @ConawayTX11 (R-Midland)'s' \Conaway For Congress\"" reported a $29.16 expenditure to \""Starbucks Coffee\""", in Las Vegas," NV for \""Meals\""."
,,,,,,,,
"<f0><U+009F><U+0094><U+008E> : https://t.co/Dlf4hh7XpO""",NA,NA,,,,,,
MC1,-95.712891,37.09024,United States,http://pbs.twimg.com/profile_images/386899989/picpic_bigger_normal.jpg,19-03-2019 14:03,Here's why Starbucks is changing its rewards program - CNN https://t.co/bkseQF3ozj,NA,NA
Tina Us Zapata,-122.3920584,45.5396297,"Troutdale, OR",http://pbs.twimg.com/profile_images/1106592055696855041/F16Uk9Rp_normal.jpg,19-03-2019 14:03,@Starbucks guns and coffee <U+2764><U+FE0F><f0><U+009F><U+0092><U+008B> https://t.co/1rG3fTCrJC,NA,NA
Brendan McIntyre,-71.0588801,42.3600825,"Boston, MA",http://pbs.twimg.com/profile_images/825116907061800962/ruX1Ky9n_normal.jpg,19-03-2019 14:03,I purposefully say Small/Medium/Large when ordering coffee at Starbucks. That is the true revolution of the proletariat.,NA,NA
Melo G. Navarro,-6.2588369,36.6393281,El Puerto de Santa María,http://pbs.twimg.com/profile_images/979850391134359552/ITVEjxBX_normal.jpg,19-03-2019 14:03,"Este señor no tiene legitimidad para hablar de Franco porque no lo ha vivido, no como todos estos veinteañeros justicieros sociales que sí tienen legitimidad para estar todo el día hablando de Franco porque se lo cruzaban todos los días en Starbucks y en los McDonald's. <f0><U+009F><U+0099><U+0082> https://t.co/RC5dydvFGN",273128,610
flowertrbl,-77.216339,38.927775,arg,http://pbs.twimg.com/profile_images/1105080294451957767/MZ4jg-Ph_normal.jpg,19-03-2019 14:04,Uh loco pq no me tocó el batista lindo en starbucks :ccc,NA,NA
flowertrbl,-77.216339,38.927775,arg,http://pbs.twimg.com/profile_images/1105080294451957767/MZ4jg-Ph_normal.jpg,19-03-2019 14:04,Uh loco pq no me atendió el batista lindo en starbucks :ccc,NA,NA
ella wilkins,-95.9315772,36.7154084,gamestop,http://pbs.twimg.com/profile_images/1064048709548285952/3kCT5rJ2_normal.jpg,19-03-2019 14:04,Why do girls treat Starbucks like it’s a personality trait?,NA,NA
Mrs DaSilva,-105.8700901,34.5199402,"New Mexico, USA",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,19-03-2019 14:04,Here’s why we’re holding vigil outside the @Starbucks shareholder meeting: We stand with dairy workers like the #DarigoldDozen. https://t.co/gg7mXwYI30,NA,NA
Mariaaah<U+2661>,-99.9018131,31.9685988,"Texas, USA",http://pbs.twimg.com/profile_images/1107720569636732928/jaXa-JN__normal.jpg,19-03-2019 14:04,"Your future wife gets Starbucks every morning now

It’s me I’m your future wife",NA,NA
<f0><U+009F><U+0091><U+00AE><f0><U+009F><U+008F><U+00BB><U+2B50><U+FE0F>,47.7193856,29.3138682,"<U+0633><U+0639><U+062F> <U+0627><U+0644><U+0639><U+0628><U+062F><U+0627><U+0644><U+0644><U+0647>, <U+062F><U+0648><U+0644><U+0629> <U+0627><U+0644><U+0643><U+0648><U+064A><U+062A>",http://pbs.twimg.com/profile_images/1100015944645132288/m2QpdUg__normal.jpg,19-03-2019 14:04,I'm at Starbucks in <U+0627><U+0644><U+062C><U+0647><U+0631><U+0627><U+0621> https://t.co/SHbbioi8ot,NA,NA
Salvaje Digital,-77.042754,-12.0463731,Lima - Perú,http://pbs.twimg.com/profile_images/1051264335736172545/qtMp5GMy_normal.jpg,19-03-2019 14:04,"@salvajedigital @PeruanoComunica @jtownsenddc La \diosa del periodismo\"" quizá se fue al Starbucks.""",NA,NA
Tina Luhman,-111.8431068,43.5427278,"Idaho Falls, ID",http://pbs.twimg.com/profile_images/1101262026146340864/xeiG8u7I_normal.jpg,19-03-2019 14:04,I felt my behavior at the understaffed airport Starbucks was perfectly acceptable https://t.co/aOvjtw2Vx8,NA,NA
News-Talk 1480 WHBC,-81.378447,40.7989473,"Canton, OH",http://pbs.twimg.com/profile_images/509069536750886912/RM8XWaMj_normal.jpeg,19-03-2019 14:04,The Coffee Challenge with Gary &amp; Jon. Can Jon &amp; Gary tell the difference? #BK #McD #Starbucks https://t.co/Ouukc4kjFd,NA,NA
Elizabeth Neill,-87.6297982,41.8781136,"Chicago, IL",http://pbs.twimg.com/profile_images/544204380/Li-Bao_confronts_the_snow_normal.JPG,19-03-2019 14:04,"Support local
Independent coffee shops. Better coffee anyway. https://t.co/73Hh4Mm8nw",1308,3
Maison Ludi <f0><U+009F><U+0087><U+00A8><f0><U+009F><U+0087><U+00A9><f0><U+009F><U+0087><U+00A6><f0><U+009F><U+0087><U+00B4>,-74.0059728,40.7127753,NYC,http://pbs.twimg.com/profile_images/1086774075807186944/Y2UJrO-K_normal.jpg,19-03-2019 14:04,Damn I bought breakfast at starbucks forgetting that’s there free breakfast from Panera here at work. This will take some getting use to <f0><U+009F><U+0098><U+008C> (it’s really for a meeting but still),NA,NA
Daisy Mendez,-121.6555013,36.6777372,"Salinas, CA",http://pbs.twimg.com/profile_images/1075785316445741056/eOif_qz7_normal.jpg,19-03-2019 14:04,@dreaarn Honey Citrus Mint Tea from Starbucks! Super yuumy . its from the secret menu. Its also called Medicine Ball. Will help you with your sore throat. <f0><U+009F><U+0099><U+008C>,NA,NA
Ash,-98.4936282,29.4241219,"San Antonio, TX",http://pbs.twimg.com/profile_images/1029480515538046976/ywRGBXSz_normal.jpg,19-03-2019 14:04,My commute would be more streamlined and enjoyable if there was a Starbucks on the way.,NA,NA
Akemi,139.6454782,35.8616486,Tokyo<U+21D4>Saitama city,http://pbs.twimg.com/profile_images/1077619816461000705/LVJ-XQz1_normal.jpg,19-03-2019 14:04,<U+30B9><U+30BF><U+30FC><U+30D0><U+30C3><U+30AF><U+30B9>!<U+65E5><U+672C><U+306E>“<U+6625>”<U+3092><U+63CF><U+3044><U+305F><U+9650><U+5B9A><U+30B9><U+30C6><U+30F3><U+30EC><U+30B9><U+30BF><U+30F3><U+30D6><U+30E9><U+30FC>&<U+30DE><U+30B0><U+30AB><U+30C3><U+30D7>&<U+30B8><U+30E3><U+30FC><U+30CA><U+30EB><U+30D6><U+30C3><U+30AF><U+304C><U+65B0><U+767A><U+58F2>! https://t.co/roClIyxP8A #<U+30B9><U+30BF><U+30D0> #Starbucks #<U+30B9><U+30BF><U+30FC><U+30D0><U+30C3><U+30AF><U+30B9> #<U+30B9><U+30BF><U+30D0><U+65B0><U+4F5C> #<U+65E5><U+672C> #YouAreHere #<U+62E1><U+6563>,NA,NA
Ryan Winchel,-117.9988026,33.6594835,"Huntington Beach, CA",http://pbs.twimg.com/profile_images/1107583899369177088/XbEd0hL1_normal.jpg,19-03-2019 14:04,When Brooke chooses Starbucks over biggby wtf? @brookearcello https://t.co/WrS1M4eEtM,NA,NA
Belly Philosophy,-73.567256,45.5016889,"Montréal, Québec",http://pbs.twimg.com/profile_images/1022961187150016517/adlQ8sPl_normal.jpg,19-03-2019 14:04,Hey @CoucheTardQc te l'avais dit je te boycott? À matin c'est @Starbucks ! :) https://t.co/LHShljfXia,NA,NA
<U+307E><U+308D><U+3093>,130.4016888,33.5901838,<U+798F><U+5CA1>,http://pbs.twimg.com/profile_images/1058464469494296577/jCrdLp1K_normal.jpg,19-03-2019 14:04,"<U+5916><U+304B><U+3089><U+773A><U+3081><U+305F><U+3060><U+3051><U+3002>

#<U+5927><U+5BB0><U+5E9C><U+5929><U+6E80><U+5BAE> #STARBUCKS https://t.co/lUQS4aA3Fj",NA,NA
Jodibeth21,-96.9977846,32.7459645,"Grand Prairie, TX",http://pbs.twimg.com/profile_images/1106902311266369537/6knSlc_1_normal.jpg,19-03-2019 14:04,@CubsAndPizza Starbucks?!?,NA,NA
Michael Legemah,-73.6154064,40.6809354,"South Hempstead, NY",http://pbs.twimg.com/profile_images/717020237070221312/4Jcm3TnZ_normal.jpg,19-03-2019 14:04,"Take a quick survey of a software you use at work, and earn $10 to Starbucks! https://t.co/xypDnLrXUq https://t.co/LBQD7IllBG",NA,NA
<f0><U+009D><U+0093><U+0092><f0><U+009D><U+0093><U+00AA><f0><U+009D><U+0093><U+00BD><f0><U+009D><U+0093><U+00B1><f0><U+009D><U+0094><U+0082>,151.208137,-33.859661,London via Sydney,http://pbs.twimg.com/profile_images/1102775596315099136/VAfU0ESw_normal.jpg,19-03-2019 14:04,Why is this Starbucks so fancy https://t.co/FHyKZyKDAl,NA,NA
Rui Silva,-8.6291053,41.1579438,"Porto, Portugal",http://pbs.twimg.com/profile_images/1068665738133671937/s7eUg-k1_normal.jpg,19-03-2019 14:04,"@vibronet @Starbucks No, but elsewhere there are better places to get coffee I think",NA,NA
Val Hawthorne,-99.9018131,31.9685988,Texas,http://pbs.twimg.com/profile_images/598218083531038720/LSXylt86_normal.jpg,19-03-2019 14:05,"What's the right about of glare with nasal exhalation for the guy ordering, who has dicked around on his phone the whole time in the 20 deep Starbucks line?  #umcanIgetaaaaaa #hmmm #whatsgoodhere",NA,NA
Selena Mason,-73.567256,45.5016889,"Montréal, Québec",http://pbs.twimg.com/profile_images/963905202096132097/D0ZiB5AG_normal.jpg,19-03-2019 14:05,"Photography by Custom Cars USA
https://t.co/lsygKzOIQp
#Eriepa #Pittsburgh #coffee #starbucks @starbucks @visitpittsburgh #eriephotographer #Pittsburghphotography https://t.co/Gqv5Yxi2En",NA,NA
The Motley Fool,-77.0469214,38.8048355,"Alexandria, VA",http://pbs.twimg.com/profile_images/563716194323025921/OthWJnik_normal.png,19-03-2019 14:05,"How do you outflank the king of coffee in the country it most wants to expand in? Spend money like it’s water and commit to a seriously high-risk financial strategy. $SBUX
https://t.co/oqpp9nlX2Q",NA,NA
TMJ-UKM Retail Jobs,-2.2426305,53.4807593,"Manchester, UK",http://pbs.twimg.com/profile_images/685904373092716544/JipWhw8c_normal.jpg,19-03-2019 14:05,Join the Starbucks team! See our latest job opening here: https://t.co/4zj4ybYwZH #Retail,NA,NA
Luke Tuchscherer,-73.9441579,40.6781784,"Brooklyn, NY",http://pbs.twimg.com/profile_images/959804668594544641/xZcyWNFe_normal.jpg,19-03-2019 14:05,"@hitRECordJoe Specifically Starbucks cups, yeah. There are sites devoted to finding them all.",NA,NA
des<f0><U+009F><U+0098><U+009B>,-103.3343978,34.1861922,"Portales, New Mexico. ",http://pbs.twimg.com/profile_images/1097312050525675520/1feoR2fO_normal.jpg,19-03-2019 14:05,From starbucks drinks and woes to alcoholic beverages and hoes<f0><U+009F><U+00A4><U+00A9><f0><U+009F><U+00A4><U+00A9>,NA,NA
alex,-116.419389,34.9592083,Southern California,http://pbs.twimg.com/profile_images/1106585508900036608/J3r2o93K_normal.jpg,19-03-2019 14:05,They're playing party for 1 at this Starbucks thanks for the good music,NA,NA
Giraffe The Agency,-6.2603097,53.3498053,"Dublin, Ireland",http://pbs.twimg.com/profile_images/2507913261/hg80d6brqmlpumlbgxo5_normal.jpeg,19-03-2019 14:05,#marketing #ireland #dublin - https://t.co/Ur3Fb2QpYa https://t.co/M4biFIZKJr,10224,1
